seed,draw,R2Y,Q2,r_pcorr,top_overlap
55,matched,0.6712134332716357,0.3896381764785527,0.9704738512758163,9
55,random,0.6729316315293625,0.4380871584703562,0.9662641066022571,9
56,matched,0.6706675417098795,0.3566258055589002,0.9648418183746911,5
56,random,0.6493285543847753,0.2585271879904135,0.9584060253449643,6
57,matched,0.6801655390766048,0.4309400119697576,0.9607683457229353,5
57,random,0.6581185628739066,0.33952287430756467,0.9637875462060076,7
58,matched,0.7236452064255376,0.3969049430622449,0.9339888534382167,6
58,random,0.7202841941591078,0.4923507960354502,0.9482672237227561,6
59,matched,0.6724436875973281,0.4025037628827749,0.9633436421349828,6
59,random,0.7135128218577274,0.36011532085245634,0.951141992182719,6
60,matched,0.6752617833934452,0.4333881663343556,0.973555067768811,8
60,random,0.6669849965963972,0.33902561034764234,0.9753592440574792,8
61,matched,0.6883279986595525,0.4353286470748886,0.9732866037258567,7
61,random,0.7091098053637523,0.22908583291405604,0.9458469673355149,6
62,matched,0.6802622283020687,0.3368078260127325,0.9673036907685908,7
62,random,0.6675045601934695,0.06502117356237136,0.9663987466237997,8
63,matched,0.6596306321383435,0.40935134689093333,0.9631837061093932,8
63,random,0.6523561484339503,0.35276695666950275,0.9711943793911009,6
64,matched,0.6650863204909943,0.36729738020721414,0.9771593403454947,8
64,random,0.636896244176206,0.32919617918099287,0.9697027311524371,8
65,matched,0.6929234868932559,0.35698344822599326,0.9571094011375043,6
65,random,0.6832475915007372,0.3132217874765346,0.9747097079535534,8
66,matched,0.6705098850302695,0.2554352278746711,0.9688810190209631,5
66,random,0.6575778140343607,0.28834190423508643,0.967226986756318,6
67,matched,0.6858987360402374,0.3864035162746452,0.960433785669406,8
67,random,0.6940345747986565,0.4329439734183256,0.9677606508417045,8
68,matched,0.676591590080882,0.43252995940856886,0.9691331630613063,8
68,random,0.6950180993537944,0.3158035897226369,0.9418542786966847,6
69,matched,0.6702725062924635,0.2735040839618672,0.9726068756171002,8
69,random,0.6837485826567515,0.30551845450846027,0.960253449640552,6
70,matched,0.6732822979114224,0.3276508225206328,0.9687920750067321,5
70,random,0.7079134785792716,0.410290933713101,0.9352104056336651,6
71,matched,0.674300269398536,0.3693698750054799,0.9776742364278781,8
71,random,0.6552531056966034,0.1688664709951121,0.9609315457490475,6
72,matched,0.6993121510409579,0.39902610568922503,0.9579841532774647,5
72,random,0.6560701447059636,0.14726041368702458,0.9725146676023468,6
73,matched,0.6691869913041459,0.3811372406906953,0.9664640266342444,6
73,random,0.6590226888531906,0.41665278733015776,0.9553533688565393,6
74,matched,0.6663462184684341,0.4471349865378792,0.9707545553207291,6
74,random,0.6902117497328037,0.3582097180413144,0.9751046520167446,9
75,matched,0.6825764229821945,0.3900416536680832,0.9576691772270685,7
75,random,0.654539842796911,0.16647163758133077,0.9568939771030365,9
76,matched,0.66562964006189,0.34834130502638483,0.9663195946111354,8
76,random,0.7097239630445773,0.30393720166313964,0.8321038931366231,4
77,matched,0.6736819643608039,0.36635670157555145,0.9684730189556833,7
77,random,0.709181143720958,0.25018808808996806,0.9472366155578584,6
78,matched,0.6649988140454655,0.3846627211081187,0.9744428759108603,4
78,random,0.726226930591655,0.40501697875504206,0.9518584402973504,7
79,matched,0.7127836667675229,0.3843947618923793,0.9563089050094248,8
79,random,0.6488091111326718,0.3704506387771437,0.9594072575051613,6
80,matched,0.6706737868361246,0.43807004319461684,0.961461129833781,6
80,random,0.6993711752469557,0.42304680393460803,0.9448130951700955,5
81,matched,0.6750816651292386,0.41832107982403444,0.9687871790059488,7
81,random,0.6617942273908342,0.39495599995274533,0.9702763792442208,6
82,matched,0.6914598858681851,0.4175886806535546,0.9448326791732288,5
82,random,0.7019097718473462,0.33695185922984006,0.9210617793698849,6
83,matched,0.6884600207691899,0.4360401404910592,0.9634358501497362,8
83,random,0.645778106963538,0.23292213751486845,0.9745905719344917,7
84,matched,0.6762829145846496,0.3322500468157641,0.966438730630197,5
84,random,0.6675642977106329,0.37947427706402004,0.9729699956751996,8
85,matched,0.6926359336322099,0.42237418337252597,0.9433459269353485,4
85,random,0.6386736441353729,0.35888584236468446,0.9654954344792697,6
86,matched,0.6761683827995232,0.41771550803792357,0.9753918840627017,7
86,random,0.7167959870728203,0.3759465446132668,0.9469420395107264,6
87,matched,0.6570711558297286,0.31119763325012273,0.9723033235685318,8
87,random,0.6651046217087369,0.38589036206132743,0.9685064749610361,7
88,matched,0.7042277077241533,0.2923374295330001,0.9515467282474767,7
